benchmark,ns_op,bytes_op,allocs_op
BenchmarkBuildPaneDescription,3221.0,392,20
BenchmarkBuildQueueDescription,3219.0,304,18
BenchmarkCompactPath/already_short,2.0,0,0
BenchmarkCompactPath/needs_compact,188.0,116,5
BenchmarkFinderBuildPaneItems/sessions=20,208021.0,94261,1326
BenchmarkFinderBuildPaneItems/sessions=5,52881.0,22642,349
BenchmarkFinderBuildPaneItems/sessions=50,506069.0,207885,3286
BenchmarkFinderBuildQueueItems/sessions=20,136431.0,27116,718
BenchmarkFinderBuildQueueItems/sessions=5,36676.0,6612,197
BenchmarkFinderBuildQueueItems/sessions=50,340106.0,72391,1778
BenchmarkFinderBuildSessionItems/sessions=20,142605.0,26754,753
BenchmarkFinderBuildSessionItems/sessions=5,36540.0,6436,198
BenchmarkFinderBuildSessionItems/sessions=50,354508.0,60366,1865
BenchmarkFinderBuildWindowItems/sessions=20,77338.0,22311,502
BenchmarkFinderBuildWindowItems/sessions=5,19980.0,5283,135
BenchmarkFinderBuildWindowItems/sessions=50,192591.0,49380,1239
BenchmarkFinderFullRefresh/sessions=20,803299.0,528339,3945
BenchmarkFinderFullRefresh/sessions=5,296745.0,302171,1246
BenchmarkFinderFullRefresh/sessions=50,1830024.0,957163,9189
BenchmarkFinderRebuildPicker/sessions=20/all_sections,83975.0,330301,351
BenchmarkFinderRebuildPicker/sessions=20/sessions_only,39100.0,222866,68
BenchmarkFinderRebuildPicker/sessions=5/all_sections,39035.0,244574,107
BenchmarkFinderRebuildPicker/sessions=5/sessions_only,26100.0,215845,28
BenchmarkFinderRebuildPicker/sessions=50/all_sections,150559.0,517202,741
BenchmarkFinderRebuildPicker/sessions=50/sessions_only,53850.0,236883,128
BenchmarkFinderView/sessions=20,66276.0,27070,292
BenchmarkFinderView/sessions=5,61443.0,16288,258
BenchmarkFinderView/sessions=50,72260.0,49364,276
BenchmarkHighlightMatches/8_matches,10013.0,888,52
BenchmarkHighlightMatches/no_matches,2.1,0,0
BenchmarkJoinParts,35.3,32,1
BenchmarkNormalizeName,88.2,32,2
BenchmarkPickerApplyFilter/items=10/multi_token,15127.0,5320,80
BenchmarkPickerApplyFilter/items=10/no_match,825.9,512,12
BenchmarkPickerApplyFilter/items=10/short_query,6524.0,2656,50
BenchmarkPickerApplyFilter/items=1000/multi_token,1462387.0,473939,7016
BenchmarkPickerApplyFilter/items=1000/no_match,57325.0,48033,1002
BenchmarkPickerApplyFilter/items=1000/short_query,584422.0,209909,4016
BenchmarkPickerApplyFilter/items=200/multi_token,291908.0,101194,1414
BenchmarkPickerApplyFilter/items=200/no_match,11712.0,9632,202
BenchmarkPickerApplyFilter/items=200/short_query,119417.0,48369,814
BenchmarkPickerApplyFilter/items=50/multi_token,78156.0,25160,362
BenchmarkPickerApplyFilter/items=50/no_match,3265.0,2432,52
BenchmarkPickerApplyFilter/items=50/short_query,32020.0,11936,212
BenchmarkPickerNew/items=10,22544.0,213445,10
BenchmarkPickerNew/items=1000,23245.0,213388,10
BenchmarkPickerNew/items=200,21511.0,213388,10
BenchmarkPickerNew/items=50,21278.0,213401,10
BenchmarkPickerResetWith/items=10,30003.0,216146,66
BenchmarkPickerResetWith/items=200,155251.0,261862,830
BenchmarkPickerResetWith/items=50,60909.0,225427,228
BenchmarkPickerView/items=10/no_filter,27750.0,3923,92
BenchmarkPickerView/items=10/with_filter,64786.0,7557,322
BenchmarkPickerView/items=200/no_filter,79289.0,26973,236
BenchmarkPickerView/items=200/with_filter,225025.0,43182,1135
BenchmarkPickerView/items=50/no_filter,76861.0,12353,234
BenchmarkPickerView/items=50/with_filter,222388.0,26298,1108
BenchmarkRenderStateCounts,5618.0,528,28
BenchmarkSectionSet,148.1,256,2
BenchmarkSortedSectionItems/items=10,786.8,2312,5
BenchmarkSortedSectionItems/items=200,12912.0,45497,5
BenchmarkSortedSectionItems/items=50,3429.0,11096,5
BenchmarkTitlePadding,307.0,0,0

# Live profile (3 sessions, 14 panes, 5 agents, 121 projects, CMS_TMUX_SOCKET)
BenchmarkLiveFetchState,111160120,2331444,4487
BenchmarkLiveDetectAll,7157594,454155,406
BenchmarkLiveProjectScan,3780385,741391,7149
BenchmarkLiveBootstrapSync,147923743,3136103,5286
BenchmarkLiveRunHeadless,315345533,4181540,15184
BenchmarkLiveNewRootModel,5075942,277841,339
